"Country_Name"	"Region"	"Avg_GDP"	"Avg_Annual_Homicides"
"Luxembourg"	"Europe"	"131538.63"	"4"
"Macao"	"Asia"	"123970.09"	"2"
"Qatar"	"Asia"	"123371.48"	"8"
"Singapore"	"Asia"	"114003.68"	"12"
"Bermuda"	"North America"	"96508.47"	"6"
"Brunei"	"Asia"	"88797.82"	"2"
"Norway"	"Europe"	"86378.58"	"36"
"Ireland"	"Europe"	"85986.85"	"39"
"Switzerland"	"Europe"	"77804.98"	"48"
"Cayman Islands"	"North America"	"74674.21"	"5"
"United Arab Emirates"	"Asia"	"71965.65"	"61"
"San Marino"	"Europe"	"66441.69"	"0"
"United States"	"North America"	"65999.96"	"17359"
"Netherlands"	"Europe"	"65087.47"	"125"
"Denmark"	"Europe"	"64522.94"	"53"
"Greenland"	"North America"	"63030.58"	"5"
"Hong Kong"	"Asia"	"62624.57"	"30"
"Austria"	"Europe"	"62215.16"	"67"
"Saudi Arabia"	"Asia"	"62003.6"	"255"
"Iceland"	"Europe"	"61546.19"	"3"
"Belgium"	"Europe"	"60669.22"	"125"
"Germany"	"Europe"	"60310.07"	"742"
"Sweden"	"Europe"	"59634.63"	"103"
"Andorra"	"Europe"	"58826.1"	"0"
"Kuwait"	"Asia"	"56767.41"	"41"
"Australia"	"Oceania"	"56576.75"	"228"
"Canada"	"North America"	"55745.52"	"658"
"Finland"	"Europe"	"55000.77"	"84"
"Bahrain"	"Asia"	"54530.61"	"5"
"United States Virgin Islands"	"North America"	"53379.24"	"51"
"France"	"Europe"	"51581.03"	"799"
"United Kingdom"	"Europe"	"49364.73"	"690"
"Italy"	"Europe"	"48838.32"	"412"
"Malta"	"Europe"	"48168.21"	"6"
"South Korea"	"Asia"	"46699.83"	"339"
"New Zealand"	"Oceania"	"45294.11"	"54"
"Spain"	"Europe"	"43842.37"	"327"
"Japan"	"Asia"	"43428.53"	"354"
"Czechia"	"Europe"	"43428.49"	"82"
"Cyprus"	"Europe"	"43210.15"	"13"
"Israel"	"Asia"	"42197.53"	"137"
"Puerto Rico"	"North America"	"41612.34"	"728"
"Slovenia"	"Europe"	"41348.12"	"14"
"Oman"	"Asia"	"40305.45"	"26"
"Estonia"	"Europe"	"38037.48"	"40"
"Lithuania"	"Europe"	"37857.19"	"137"
