Country_Code,Country_Name,Region
AFG,Afghanistan,Asia
ALB,Albania,Europe
DZA,Algeria,Africa
AND,Andorra,Europe
AGO,Angola,Africa
ATG,Antigua and Barbuda,North America
ARG,Argentina,South America
ARM,Armenia,Asia
ABW,Aruba,North America
AUS,Australia,Oceania
AUT,Austria,Europe
AZE,Azerbaijan,Asia
BHS,Bahamas,North America
BHR,Bahrain,Asia
BGD,Bangladesh,Asia
BRB,Barbados,North America
BLR,Belarus,Europe
BEL,Belgium,Europe
BLZ,Belize,North America
BEN,Benin,Africa
BMU,Bermuda,North America
BTN,Bhutan,Asia
BOL,Bolivia,South America
BIH,Bosnia and Herzegovina,Europe
BWA,Botswana,Africa
BRA,Brazil,South America
BRN,Brunei,Asia
BGR,Bulgaria,Europe
BFA,Burkina Faso,Africa
BDI,Burundi,Africa
KHM,Cambodia,Asia
CMR,Cameroon,Africa
CAN,Canada,North America
CPV,Cape Verde,Africa
CYM,Cayman Islands,North America
CAF,Central African Republic,Africa
TCD,Chad,Africa
CHL,Chile,South America
CHN,China,Asia
COL,Colombia,South America
COM,Comoros,Africa
COG,Congo,Africa
CRI,Costa Rica,North America
CIV,Cote d'Ivoire,Africa
HRV,Croatia,Europe
CUW,Curacao,North America
CYP,Cyprus,Europe
CZE,Czechia,Europe
COD,Democratic Republic of Congo,Africa
DNK,Denmark,Europe
DJI,Djibouti,Africa
DMA,Dominica,North America
DOM,Dominican Republic,North America
WB_EAP,East Asia and Pacific (WB),
TLS,East Timor,Asia
ECU,Ecuador,South America
EGY,Egypt,Africa
SLV,El Salvador,North America
GNQ,Equatorial Guinea,Africa
EST,Estonia,Europe
SWZ,Eswatini,Africa
ETH,Ethiopia,Africa
WB_ECA,Europe and Central Asia (WB),
OWID_EU27,European Union (27),
FRO,Faroe Islands,Europe
FJI,Fiji,Oceania
FIN,Finland,Europe
FRA,France,Europe
GAB,Gabon,Africa
GMB,Gambia,Africa
GEO,Georgia,Asia
DEU,Germany,Europe
GHA,Ghana,Africa
GRC,Greece,Europe
GRL,Greenland,North America
GRD,Grenada,North America
GTM,Guatemala,North America
GIN,Guinea,Africa
GNB,Guinea-Bissau,Africa
GUY,Guyana,South America
HTI,Haiti,North America
OWID_HIC,High-income countries,
HND,Honduras,North America
HKG,Hong Kong,Asia
HUN,Hungary,Europe
ISL,Iceland,Europe
IND,India,Asia
IDN,Indonesia,Asia
IRN,Iran,Asia
IRQ,Iraq,Asia
IRL,Ireland,Europe
ISR,Israel,Asia
ITA,Italy,Europe
JAM,Jamaica,North America
JPN,Japan,Asia
JOR,Jordan,Asia
KAZ,Kazakhstan,Asia
KEN,Kenya,Africa
KIR,Kiribati,Oceania
OWID_KOS,Kosovo,Europe
KWT,Kuwait,Asia
KGZ,Kyrgyzstan,Asia
LAO,Laos,Asia
WB_LAC,Latin America and Caribbean (WB),
LVA,Latvia,Europe
LBN,Lebanon,Asia
LSO,Lesotho,Africa
LBR,Liberia,Africa
LBY,Libya,Africa
LTU,Lithuania,Europe
OWID_LIC,Low-income countries,
OWID_LMC,Lower-middle-income countries,
LUX,Luxembourg,Europe
MAC,Macao,Asia
MDG,Madagascar,Africa
MWI,Malawi,Africa
MYS,Malaysia,Asia
MDV,Maldives,Asia
MLI,Mali,Africa
MLT,Malta,Europe
MHL,Marshall Islands,Oceania
MRT,Mauritania,Africa
MUS,Mauritius,Africa
MEX,Mexico,North America
FSM,Micronesia (country),Oceania
WB_MENAP,"Middle East, North Africa, Afghanistan and Pakistan (WB)",
MDA,Moldova,Europe
MNG,Mongolia,Asia
MNE,Montenegro,Europe
MAR,Morocco,Africa
MOZ,Mozambique,Africa
MMR,Myanmar,Asia
NAM,Namibia,Africa
NRU,Nauru,Oceania
NPL,Nepal,Asia
NLD,Netherlands,Europe
NZL,New Zealand,Oceania
NIC,Nicaragua,North America
NER,Niger,Africa
NGA,Nigeria,Africa
WB_NA,North America (WB),
MKD,North Macedonia,Europe
NOR,Norway,Europe
OMN,Oman,Asia
PAK,Pakistan,Asia
PLW,Palau,Oceania
PSE,Palestine,Asia
PAN,Panama,North America
PNG,Papua New Guinea,Oceania
PRY,Paraguay,South America
PER,Peru,South America
PHL,Philippines,Asia
POL,Poland,Europe
PRT,Portugal,Europe
PRI,Puerto Rico,North America
QAT,Qatar,Asia
ROU,Romania,Europe
RUS,Russia,Europe
RWA,Rwanda,Africa
KNA,Saint Kitts and Nevis,North America
LCA,Saint Lucia,North America
