Country_Code,Year,Crime_Count,Crime_Type
AFG,2009,1115.0,Homicide
AFG,2010,983.0,Homicide
AFG,2011,1231.0,Homicide
AFG,2012,1948.0,Homicide
AFG,2015,3367.0,Homicide
AFG,2016,2318.0,Homicide
AFG,2017,2424.0,Homicide
AFG,2018,2474.0,Homicide
AFG,2019,2712.0,Homicide
AFG,2020,2570.0,Homicide
AFG,2021,1613.0,Homicide
ALB,1992,130.0,Homicide
ALB,1993,191.0,Homicide
ALB,1994,112.0,Homicide
ALB,1995,259.0,Homicide
ALB,1996,272.0,Homicide
ALB,1997,1334.0,Homicide
ALB,1998,660.0,Homicide
ALB,1999,532.0,Homicide
ALB,2000,131.0,Homicide
ALB,2001,220.0,Homicide
ALB,2002,216.0,Homicide
ALB,2003,166.0,Homicide
ALB,2004,131.0,Homicide
ALB,2005,154.0,Homicide
ALB,2006,95.0,Homicide
ALB,2007,105.0,Homicide
ALB,2008,93.0,Homicide
ALB,2009,85.0,Homicide
ALB,2010,119.0,Homicide
ALB,2011,142.0,Homicide
ALB,2012,157.0,Homicide
ALB,2013,124.0,Homicide
ALB,2014,134.0,Homicide
ALB,2015,64.0,Homicide
ALB,2016,79.0,Homicide
ALB,2017,58.0,Homicide
ALB,2018,66.0,Homicide
ALB,2019,65.0,Homicide
ALB,2020,61.0,Homicide
ALB,2021,66.0,Homicide
ALB,2022,48.0,Homicide
ALB,2023,39.0,Homicide
ALB,2024,49.0,Homicide
DZA,2006,312.0,Homicide
DZA,2007,271.0,Homicide
DZA,2008,328.0,Homicide
DZA,2009,277.0,Homicide
DZA,2010,254.0,Homicide
DZA,2011,280.0,Homicide
DZA,2012,523.0,Homicide
DZA,2013,480.0,Homicide
DZA,2014,577.0,Homicide
DZA,2015,546.0,Homicide
DZA,2016,542.0,Homicide
DZA,2017,524.0,Homicide
DZA,2018,568.0,Homicide
DZA,2019,519.0,Homicide
DZA,2020,654.0,Homicide
DZA,2021,695.0,Homicide
DZA,2022,795.0,Homicide
DZA,2023,536.0,Homicide
AND,2004,1.0,Homicide
AND,2007,0.0,Homicide
AND,2008,1.0,Homicide
AND,2009,0.0,Homicide
AND,2010,0.0,Homicide
AND,2011,1.0,Homicide
AND,2012,0.0,Homicide
AND,2013,0.0,Homicide
AND,2014,0.0,Homicide
AND,2015,0.0,Homicide
AND,2020,2.0,Homicide
AGO,2011,1055.0,Homicide
AGO,2012,1217.0,Homicide
AGO,2015,1254.0,Homicide
AGO,2016,1196.0,Homicide
ATG,1990,1.0,Homicide
ATG,1991,3.0,Homicide
ATG,1992,2.0,Homicide
ATG,1993,4.0,Homicide
ATG,1994,5.0,Homicide
ATG,1995,7.0,Homicide
ATG,1996,3.0,Homicide
ATG,1997,1.0,Homicide
ATG,2000,5.0,Homicide
ATG,2001,7.0,Homicide
ATG,2002,5.0,Homicide
ATG,2003,5.0,Homicide
ATG,2004,4.0,Homicide
ATG,2005,3.0,Homicide
ATG,2006,11.0,Homicide
ATG,2007,17.0,Homicide
ATG,2008,16.0,Homicide
ATG,2009,16.0,Homicide
ATG,2010,6.0,Homicide
ATG,2012,10.0,Homicide
ATG,2017,20.0,Homicide
ATG,2018,12.0,Homicide
ATG,2019,3.0,Homicide
ATG,2020,9.0,Homicide
ATG,2021,16.0,Homicide
ATG,2022,10.0,Homicide
ATG,2023,10.0,Homicide
ARG,2001,3129.0,Homicide
ARG,2002,3570.0,Homicide
ARG,2003,2967.0,Homicide
ARG,2004,2338.0,Homicide
ARG,2005,2198.0,Homicide
ARG,2006,2111.0,Homicide
ARG,2007,2139.0,Homicide
ARG,2008,2371.0,Homicide
ARG,2009,2642.0,Homicide
ARG,2010,2384.0,Homicide
ARG,2011,2511.0,Homicide
ARG,2012,2648.0,Homicide
ARG,2013,3072.0,Homicide
ARG,2014,3228.0,Homicide
ARG,2015,2837.0,Homicide
ARG,2016,2625.0,Homicide
ARG,2017,2317.0,Homicide
ARG,2018,2384.0,Homicide
ARG,2019,2308.0,Homicide
ARG,2020,2419.0,Homicide
ARG,2021,2094.0,Homicide
ARG,2022,1958.0,Homicide
ARG,2023,2046.0,Homicide
ARM,1990,178.0,Homicide
ARM,1991,186.0,Homicide
ARM,1992,305.0,Homicide
ARM,1993,268.0,Homicide
ARM,1994,157.0,Homicide
ARM,1995,116.0,Homicide
ARM,1996,114.0,Homicide
ARM,1997,100.0,Homicide
ARM,1998,93.0,Homicide
ARM,1999,90.0,Homicide
ARM,2000,91.0,Homicide
ARM,2001,88.0,Homicide
ARM,2002,69.0,Homicide
ARM,2004,83.0,Homicide
ARM,2005,58.0,Homicide
ARM,2006,79.0,Homicide
ARM,2007,77.0,Homicide
ARM,2008,97.0,Homicide
ARM,2009,97.0,Homicide
ARM,2010,56.0,Homicide
ARM,2011,71.0,Homicide
ARM,2012,65.0,Homicide
ARM,2013,63.0,Homicide
ARM,2014,72.0,Homicide
ARM,2015,75.0,Homicide
ARM,2016,87.0,Homicide
ARM,2017,70.0,Homicide
ARM,2018,50.0,Homicide
ARM,2019,73.0,Homicide
ARM,2020,75.0,Homicide
ARM,2021,90.0,Homicide
ARM,2022,79.0,Homicide
ARM,2023,65.0,Homicide
ABW,1990,0.0,Homicide
ABW,1995,6.0,Homicide
ABW,1999,2.0,Homicide
ABW,2001,4.0,Homicide
ABW,2002,5.0,Homicide
ABW,2003,4.0,Homicide
ABW,2004,2.0,Homicide
ABW,2005,6.0,Homicide
ABW,2006,5.0,Homicide
ABW,2007,3.0,Homicide
ABW,2008,5.0,Homicide
ABW,2009,4.0,Homicide
ABW,2010,4.0,Homicide
ABW,2011,2.0,Homicide
ABW,2012,4.0,Homicide
ABW,2013,6.0,Homicide
ABW,2014,2.0,Homicide
AUS,1990,374.0,Homicide
AUS,1991,340.0,Homicide
AUS,1992,301.0,Homicide
AUS,1993,333.0,Homicide
AUS,1994,320.0,Homicide
AUS,1995,356.0,Homicide
AUS,1996,354.0,Homicide
AUS,1997,364.0,Homicide
AUS,1998,334.0,Homicide
AUS,1999,385.0,Homicide
AUS,2000,362.0,Homicide
AUS,2001,347.0,Homicide
AUS,2002,366.0,Homicide
AUS,2003,302.0,Homicide
AUS,2004,263.0,Homicide
AUS,2005,259.0,Homicide
AUS,2006,281.0,Homicide
AUS,2007,255.0,Homicide
AUS,2008,261.0,Homicide
AUS,2009,263.0,Homicide
AUS,2010,231.0,Homicide
AUS,2011,248.0,Homicide
AUS,2012,243.0,Homicide
AUS,2013,245.0,Homicide
AUS,2014,243.0,Homicide
AUS,2015,236.0,Homicide
AUS,2016,227.0,Homicide
AUS,2017,208.0,Homicide
AUS,2018,221.0,Homicide
AUS,2019,225.0,Homicide
AUS,2020,221.0,Homicide
AUS,2021,193.0,Homicide
AUS,2022,220.0,Homicide
AUS,2023,226.0,Homicide
AUT,1990,89.0,Homicide
AUT,1991,103.0,Homicide
AUT,1992,97.0,Homicide
AUT,1993,80.0,Homicide
AUT,1994,88.0,Homicide
AUT,1995,78.0,Homicide
AUT,1996,99.0,Homicide
AUT,1997,66.0,Homicide
AUT,1998,77.0,Homicide
AUT,1999,60.0,Homicide
AUT,2000,82.0,Homicide
AUT,2001,70.0,Homicide
AUT,2002,65.0,Homicide
AUT,2003,50.0,Homicide
AUT,2004,59.0,Homicide
AUT,2005,54.0,Homicide
AUT,2006,61.0,Homicide
AUT,2007,45.0,Homicide
AUT,2008,58.0,Homicide
AUT,2009,51.0,Homicide
AUT,2010,61.0,Homicide
AUT,2011,77.0,Homicide
AUT,2012,81.0,Homicide
AUT,2013,61.0,Homicide
AUT,2014,42.0,Homicide
AUT,2015,44.0,Homicide
AUT,2016,54.0,Homicide
AUT,2017,70.0,Homicide
AUT,2018,86.0,Homicide
AUT,2019,77.0,Homicide
AUT,2020,65.0,Homicide
AUT,2021,65.0,Homicide
AUT,2022,79.0,Homicide
AUT,2023,80.0,Homicide
AZE,1990,329.0,Homicide
AZE,1991,357.0,Homicide
AZE,1992,564.0,Homicide
AZE,1993,478.0,Homicide
AZE,1994,499.0,Homicide
AZE,1995,443.0,Homicide
AZE,1996,400.0,Homicide
AZE,1997,284.0,Homicide
AZE,1998,280.0,Homicide
AZE,1999,242.0,Homicide
AZE,2000,226.0,Homicide
AZE,2001,218.0,Homicide
AZE,2002,212.0,Homicide
AZE,2007,189.0,Homicide
AZE,2008,192.0,Homicide
AZE,2010,206.0,Homicide
AZE,2011,211.0,Homicide
AZE,2012,202.0,Homicide
AZE,2013,221.0,Homicide
AZE,2014,236.0,Homicide
AZE,2015,211.0,Homicide
AZE,2016,169.0,Homicide
AZE,2017,182.0,Homicide
AZE,2018,197.0,Homicide
AZE,2019,168.0,Homicide
AZE,2020,219.0,Homicide
AZE,2021,174.0,Homicide
AZE,2022,184.0,Homicide
AZE,2023,223.0,Homicide
AZE,2024,206.0,Homicide
BHS,1990,45.0,Homicide
BHS,1991,28.0,Homicide
BHS,1992,41.0,Homicide
BHS,1993,35.0,Homicide
BHS,1994,52.0,Homicide
BHS,1995,40.0,Homicide
BHS,1996,51.0,Homicide
BHS,1997,46.0,Homicide
BHS,2000,74.0,Homicide
BHS,2001,43.0,Homicide
BHS,2002,52.0,Homicide
BHS,2003,50.0,Homicide
BHS,2004,44.0,Homicide
BHS,2005,52.0,Homicide
BHS,2006,61.0,Homicide
BHS,2007,78.0,Homicide
BHS,2008,73.0,Homicide
BHS,2009,87.0,Homicide
BHS,2010,94.0,Homicide
BHS,2011,127.0,Homicide
BHS,2012,110.0,Homicide
BHS,2013,119.0,Homicide
BHS,2014,122.0,Homicide
BHS,2015,146.0,Homicide
BHS,2016,111.0,Homicide
BHS,2017,122.0,Homicide
BHS,2018,91.0,Homicide
BHS,2019,95.0,Homicide
BHS,2020,73.0,Homicide
BHS,2021,119.0,Homicide
BHS,2022,128.0,Homicide
BHR,1995,5.0,Homicide
BHR,1996,8.0,Homicide
BHR,1997,6.0,Homicide
BHR,2001,9.0,Homicide
BHR,2002,8.0,Homicide
BHR,2007,4.0,Homicide
BHR,2008,6.0,Homicide
BHR,2009,13.0,Homicide
BHR,2010,2.0,Homicide
BHR,2011,12.0,Homicide
BHR,2012,9.0,Homicide
BHR,2013,11.0,Homicide
BHR,2014,9.0,Homicide
BHR,2015,3.0,Homicide
BHR,2016,4.0,Homicide
BHR,2017,6.0,Homicide
BHR,2018,5.0,Homicide
BHR,2019,4.0,Homicide
BHR,2020,0.0,Homicide
BHR,2021,1.0,Homicide
BHR,2022,3.0,Homicide
BGD,2000,3343.0,Homicide
BGD,2001,3678.0,Homicide
BGD,2002,3503.0,Homicide
BGD,2003,3471.0,Homicide
BGD,2004,3902.0,Homicide
BGD,2005,3592.0,Homicide
BGD,2006,4166.0,Homicide
BGD,2007,3863.0,Homicide
BGD,2008,4099.0,Homicide
BGD,2009,4219.0,Homicide
BGD,2010,3988.0,Homicide
BGD,2011,3966.0,Homicide
BGD,2012,4114.0,Homicide
BGD,2013,4393.0,Homicide
BGD,2014,4514.0,Homicide
BGD,2015,4035.0,Homicide
BGD,2016,3591.0,Homicide
BGD,2017,3549.0,Homicide
BGD,2018,3830.0,Homicide
BRB,1990,34.0,Homicide
BRB,1991,21.0,Homicide
BRB,1992,22.0,Homicide
BRB,1993,21.0,Homicide
BRB,1994,20.0,Homicide
BRB,1995,17.0,Homicide
BRB,1998,20.0,Homicide
BRB,1999,23.0,Homicide
BRB,2000,20.0,Homicide
BRB,2001,25.0,Homicide
BRB,2002,25.0,Homicide
BRB,2003,33.0,Homicide
BRB,2004,22.0,Homicide
BRB,2005,29.0,Homicide
BRB,2006,35.0,Homicide
BRB,2007,25.0,Homicide
BRB,2008,23.0,Homicide
BRB,2009,19.0,Homicide
BRB,2010,31.0,Homicide
BRB,2011,27.0,Homicide
BRB,2012,22.0,Homicide
BRB,2013,24.0,Homicide
BRB,2014,25.0,Homicide
