Country_Code,Year,GDP_Per_Capita
AFG,2009,2565.022
AFG,2010,2848.5862
AFG,2011,2757.0525
AFG,2012,2985.319
AFG,2015,2967.6921
AFG,2016,2958.7854
AFG,2017,2952.999
AFG,2018,2902.392
AFG,2019,2927.245
AFG,2020,2769.6858
AFG,2021,2144.1665
ALB,1992,3761.1555
ALB,1993,4145.92
ALB,1994,4517.799
ALB,1995,5151.3975
ALB,1996,5563.793
ALB,1997,4943.004
ALB,1998,5387.5684
ALB,1999,6086.009
ALB,2000,6582.0166
ALB,2001,7232.9907
ALB,2002,7590.49
ALB,2003,8025.2812
ALB,2004,8483.294
ALB,2005,8964.318
ALB,2006,9564.029
ALB,2007,10262.967
ALB,2008,11056.352
ALB,2009,11430.622
ALB,2010,11829.054
ALB,2011,12153.114
ALB,2012,12463.57
ALB,2013,12873.483
ALB,2014,13366.56
ALB,2015,13876.819
ALB,2016,14643.489
ALB,2017,15359.461
ALB,2018,16170.99
ALB,2019,16761.193
ALB,2020,16457.787
ALB,2021,18212.871
ALB,2022,19388.873
ALB,2023,20481.035
ALB,2024,21641.074
DZA,2006,13920.694
DZA,2007,14114.675
DZA,2008,14206.776
DZA,2009,14104.428
DZA,2010,14496.421
DZA,2011,14641.964
DZA,2012,14697.54
DZA,2013,14778.191
DZA,2014,15073.763
DZA,2015,15239.518
DZA,2016,15511.686
DZA,2017,15427.664
DZA,2018,15343.426
DZA,2019,15199.199
DZA,2020,14194.155
DZA,2021,14496.865
DZA,2022,14782.2
DZA,2023,15159.324
AND,2004,64353.484
AND,2007,65534.117
AND,2008,60691.605
AND,2009,57203.973
AND,2010,58285.06
AND,2011,60470.465
AND,2012,58172.133
AND,2013,57332.16
AND,2014,59929.246
AND,2015,62105.152
AND,2020,55488.492
AGO,2011,11037.639
AGO,2012,11519.993
AGO,2015,11392.906
AGO,2016,10805.712
ATG,1990,21074.576
ATG,1991,21424.291
ATG,1992,21330.273
ATG,1993,22051.438
ATG,1994,23081.664
ATG,1995,21639.602
ATG,1996,22597.314
ATG,1997,23350.309
ATG,2000,25547.611
ATG,2001,24014.775
ATG,2002,23958.164
ATG,2003,25136.002
ATG,2004,26303.617
ATG,2005,27692.635
ATG,2006,30827.342
ATG,2007,33245.27
ATG,2008,32756.307
ATG,2009,28405.69
ATG,2010,25826.61
ATG,2012,25592.906
ATG,2017,27199.195
ATG,2018,28878.607
ATG,2019,29651.863
ATG,2020,23930.672
ATG,2021,25745.496
ATG,2022,27941.785
ATG,2023,28474.045
ARG,2001,21066.459
ARG,2002,18571.701
ARG,2003,20005.139
ARG,2004,21591.45
ARG,2005,23262.408
ARG,2006,24877.25
ARG,2007,26850.664
ARG,2008,27658.484
ARG,2009,25747.197
ARG,2010,28056.258
ARG,2011,29425.76
ARG,2012,28825.967
ARG,2013,29227.66
ARG,2014,28200.814
ARG,2015,28669.207
ARG,2016,27802.105
ARG,2017,28334.904
ARG,2018,27367.115
ARG,2019,26629.553
ARG,2020,23877.094
ARG,2021,26300.273
ARG,2022,27825.027
ARG,2023,27230.396
ARM,1990,6137.6006
ARM,1991,5326.753
ARM,1992,3136.7244
ARM,1993,2958.8804
ARM,1994,3200.8965
ARM,1995,3480.7559
ARM,1996,3717.3357
ARM,1997,3879.1794
ARM,1998,4211.5127
ARM,1999,4406.9673
ARM,2000,4589.0083
ARM,2001,5044.1167
ARM,2002,5731.3535
ARM,2004,7299.4
ARM,2005,8362.9
ARM,2006,9525.231
ARM,2007,10898.849
ARM,2008,11727.482
ARM,2009,10143.235
ARM,2010,10438.564
ARM,2011,10990.177
ARM,2012,11796.274
ARM,2013,12194.019
ARM,2014,12667.376
ARM,2015,13112.76
ARM,2016,13192.994
ARM,2017,14243.875
ARM,2018,15037.045
ARM,2019,16215.36
ARM,2020,15052.936
ARM,2021,15921.705
ARM,2022,17886.178
ARM,2023,19402.752
ABW,1990,33063.0
ABW,1995,35386.86
ABW,1999,35227.477
ABW,2001,38729.457
ABW,2002,38098.906
ABW,2003,38086.01
ABW,2004,40000.562
ABW,2005,38828.215
ABW,2006,38566.8
ABW,2007,39462.586
ABW,2008,39881.59
ABW,2009,34986.15
ABW,2010,33951.625
ABW,2011,34837.94
ABW,2012,33972.34
ABW,2013,35621.785
ABW,2014,35746.863
AUS,1990,36267.742
AUS,1991,35670.668
AUS,1992,35426.285
AUS,1993,36533.15
AUS,1994,37622.652
AUS,1995,38653.336
AUS,1996,39663.16
AUS,1997,40773.566
AUS,1998,42257.17
AUS,1999,43899.074
AUS,2000,45099.074
AUS,2001,45428.2
AUS,2002,46688.395
AUS,2003,47581.23
AUS,2004,49061.277
AUS,2005,49997.066
AUS,2006,50693.727
AUS,2007,51663.242
AUS,2008,52473.383
AUS,2009,52407.91
AUS,2010,52739.27
AUS,2011,53257.047
AUS,2012,54403.883
AUS,2013,54895.004
AUS,2014,55489.07
AUS,2015,55879.996
AUS,2016,56529.953
AUS,2017,56881.855
AUS,2018,57647.844
AUS,2019,58048.617
AUS,2020,57260.465
AUS,2021,58327.414
AUS,2022,60029.133
AUS,2023,60684.96
AUT,1990,43258.176
AUT,1991,44302.42
AUT,1992,44734.855
AUT,1993,44601.207
AUT,1994,45497.137
AUT,1995,46639.53
AUT,1996,47608.633
AUT,1997,48575.16
AUT,1998,50216.7
AUT,1999,52004.53
AUT,2000,53534.344
AUT,2001,54032.152
AUT,2002,54565.08
AUT,2003,54919.79
AUT,2004,55980.23
AUT,2005,56890.28
AUT,2006,58460.24
AUT,2007,60470.91
AUT,2008,61157.99
AUT,2009,58810.44
AUT,2010,59730.55
AUT,2011,61272.258
AUT,2012,61376.723
AUT,2013,60863.055
AUT,2014,60845.66
AUT,2015,60951.688
AUT,2016,61572.71
AUT,2017,62535.9
AUT,2018,63778.027
AUT,2019,64609.375
AUT,2020,60276.414
AUT,2021,62968.94
AUT,2022,65694.555
AUT,2023,64536.297
AZE,1990,10776.067
AZE,1991,10559.212
AZE,1992,8050.2163
AZE,1993,6097.4863
AZE,1994,4830.699
AZE,1995,4211.721
AZE,1996,4223.523
AZE,1997,4425.5884
AZE,1998,4822.16
AZE,1999,5133.748
AZE,2000,5656.9297
AZE,2001,6168.9854
AZE,2002,6701.0815
AZE,2007,16587.365
AZE,2008,17963.021
AZE,2010,19925.39
AZE,2011,19358.078
AZE,2012,19523.373
AZE,2013,20398.646
AZE,2014,20709.201
AZE,2015,20678.754
AZE,2016,19822.41
AZE,2017,19659.004
AZE,2018,19781.852
AZE,2019,20101.492
AZE,2020,19126.098
AZE,2021,20111.375
AZE,2022,21051.244
AZE,2023,21310.738
AZE,2024,22072.148
BHS,1990,33072.16
BHS,1991,31148.904
BHS,1992,29412.88
BHS,1993,28955.352
BHS,1994,29346.361
BHS,1995,30128.193
BHS,1996,30907.82
BHS,1997,30839.025
BHS,2000,34597.164
BHS,2001,35072.367
BHS,2002,35610.68
BHS,2003,34740.76
BHS,2004,34617.805
BHS,2005,35365.465
BHS,2006,35789.133
BHS,2007,35797.117
BHS,2008,34498.035
BHS,2009,32630.264
BHS,2010,32711.459
BHS,2011,32535.662
BHS,2012,33667.555
BHS,2013,32402.916
BHS,2014,32712.635
BHS,2015,32777.586
BHS,2016,32172.336
BHS,2017,33050.035
BHS,2018,33650.215
